CODAUTO,CCAA,CPRO,Provincia,Municipio,INE5
"07","Castilla y León","09","Burgos","Abajas","09001"
"07","Castilla y León","09","Burgos","Adrada de Haza","09003"
"07","Castilla y León","09","Burgos","Aguas Cándidas","09006"
"07","Castilla y León","09","Burgos","Aguilar de Bureba","09007"
"07","Castilla y León","09","Burgos","Albillos","09009"
"07","Castilla y León","09","Burgos","Alcocero de Mola","09010"
"07","Castilla y León","09","Burgos","Alfoz de Bricia","09011"
"07","Castilla y León","09","Burgos","Alfoz de Quintanadueñas","09907"
"07","Castilla y León","09","Burgos","Alfoz de Santa Gadea","09012"
"07","Castilla y León","09","Burgos","Altable","09013"
"07","Castilla y León","09","Burgos","Altos, Los","09014"
"07","Castilla y León","09","Burgos","Ameyugo","09016"
"07","Castilla y León","09","Burgos","Anguix","09017"
"07","Castilla y León","09","Burgos","Aranda de Duero","09018"
"07","Castilla y León","09","Burgos","Arandilla","09019"
"07","Castilla y León","09","Burgos","Arauzo de Miel","09020"
"07","Castilla y León","09","Burgos","Arauzo de Salce","09021"
"07","Castilla y León","09","Burgos","Arauzo de Torre","09022"
"07","Castilla y León","09","Burgos","Arcos","09023"
"07","Castilla y León","09","Burgos","Arenillas de Riopisuerga","09024"
"07","Castilla y León","09","Burgos","Arija","09025"
"07","Castilla y León","09","Burgos","Arlanzón","09026"
"07","Castilla y León","09","Burgos","Arraya de Oca","09027"
"07","Castilla y León","09","Burgos","Atapuerca","09029"
"07","Castilla y León","09","Burgos","Ausines, Los","09030"
"07","Castilla y León","09","Burgos","Avellanosa de Muñó","09032"
"07","Castilla y León","09","Burgos","Bahabón de Esgueva","09033"
"07","Castilla y León","09","Burgos","Balbases, Los","09034"
"07","Castilla y León","09","Burgos","Baños de Valdearados","09035"
"07","Castilla y León","09","Burgos","Bañuelos de Bureba","09036"
"07","Castilla y León","09","Burgos","Barbadillo de Herreros","09037"
"07","Castilla y León","09","Burgos","Barbadillo del Mercado","09038"
"07","Castilla y León","09","Burgos","Barbadillo del Pez","09039"
"07","Castilla y León","09","Burgos","Barrio de Muñó","09041"
"07","Castilla y León","09","Burgos","Barrios de Bureba, Los","09043"
"07","Castilla y León","09","Burgos","Barrios de Colina","09044"
"07","Castilla y León","09","Burgos","Basconcillos del Tozo","09045"
"07","Castilla y León","09","Burgos","Bascuñana","09046"
"07","Castilla y León","09","Burgos","Belbimbre","09047"
"07","Castilla y León","09","Burgos","Belorado","09048"
"07","Castilla y León","09","Burgos","Berberana","09050"
"07","Castilla y León","09","Burgos","Berlangas de Roa","09051"
"07","Castilla y León","09","Burgos","Berzosa de Bureba","09052"
"07","Castilla y León","09","Burgos","Bozoó","09054"
"07","Castilla y León","09","Burgos","Brazacorta","09055"
"07","Castilla y León","09","Burgos","Briviesca","09056"
"07","Castilla y León","09","Burgos","Bugedo","09057"
"07","Castilla y León","09","Burgos","Buniel","09058"
"07","Castilla y León","09","Burgos","Burgos","09059"
"07","Castilla y León","09","Burgos","Busto de Bureba","09060"
"07","Castilla y León","09","Burgos","Cabañes de Esgueva","09061"
