Año;Mes;Codigo Tienda;Presupuesto
2021;11;T-0004-37152;848099.7755999999
2021;11;T-0086-40056;797862.2877000001
2021;11;T-0095-42176;1123107.594
2021;11;T-0149-12052;1035774.0042
2021;11;T-0160-44110;743603.895
2021;11;T-0243-31169;646799.3674999999
2021;11;T-0243-36004;571261.6098
2021;11;T-0296-45136;1354843.2640000002
2021;11;T-0297-29065;873978.336
2021;11;T-0301-48013;728211.87
2021;11;T-0313-49272;943968.0048
2021;11;T-0341-23047;1138028.0643
2021;11;T-0347-9060;653908.3456000001
2021;11;T-0376-36060;484261.32560000004
2021;11;T-0411-45046;679665.9895
2021;11;T-0413-39024;782526.3738
2021;11;T-0427-22254;816902.5689
2021;11;T-0452-41005;610520.8890000001
2021;11;T-0506-19232;1156435.7724
2021;11;T-0534-23052;804676.0953
2021;11;T-0599-17151;524230.75600000005
2021;11;T-0604-45089;965443.0458000001
2021;11;T-0667-19120;715966.9034
2021;11;T-0696-45203;1068619.3041
2021;11;T-0715-40221;884400.7288
2021;11;T-0783-47151;1074272.6072000002
2021;11;T-0793-9466;1075830.7
2021;11;T-0808-6137;1132369.5004
2021;11;T-0849-2001;813570.0213
2021;11;T-0855-21078;953353.3343999999
2021;11;T-0875-18024;979651.6398000001
2021;11;T-0914-49109;473875.635
2021;11;T-0917-5231;655857.6407999999
2021;11;T-0918-20039;1075947.162
2021;11;T-0958-4103;493617.2956
2021;11;T-0976-19191;806555.214
2021;11;T-0978-28901;992730.912
2021;11;T-0995-9128;972926.616
2021;11;T-1039-26103;532981.9764
2021;11;T-1042-10007;734031.2191999999
2021;11;T-1062-10110;519680.6316000001
2021;11;T-1092-6031;1094783.9991000001
2021;11;T-1126-43055;852396.3852
2021;11;T-1137-22061;573747.8868
2021;11;T-1178-3021;1249221.4686
2021;11;T-1195-34201;902345.859
2021;11;T-1227-29011;1027292.1780000001
2021;11;T-1258-29026;818147.9748
2021;11;T-1260-16173;659757.4621
2021;11;T-1308-34083;1247589.4144
2021;11;T-1328-12065;952628.5041
2021;11;T-1345-8027;649145.9238000001
2021;11;T-1372-21017;1201155.5322
2021;11;T-1416-48063;565508.0504
2021;11;T-1432-24025;597292.4934
2021;11;T-1437-38031;577125.5678
2021;11;T-1468-8107;841798.692
2021;11;T-1532-48069;766556.0448
2021;11;T-1545-44208;730851.09
2021;11;T-1548-4026;1110439.236
2021;11;T-1602-25249;830237.7492
2021;11;T-1653-47232;730648.9511999999
2021;11;T-1667-31031;552731.2389
2021;11;T-1719-23053;589968.9419999999
2021;11;T-1735-16135;701610.8232
2021;11;T-1788-7044;1076629.0044000002
2021;11;T-1843-22158;937130.1102
2021;11;T-1854-10213;692771.415
2021;11;T-1949-19066;668720.5184000001
2021;11;T-1957-37118;1140199.8265
2021;11;T-1973-48045;517022.7700000001
2021;11;T-1997-43051;548772.3668000001
2021;11;T-1997-48074;1094762.0155
2021;11;T-2021-2041;584035.7152000001
2021;11;T-2030-9101;590555.8032
2021;11;T-2031-40156;545274.9954
2021;11;T-2034-24902;952060.887
2021;11;T-2068-37109;791587.1495
2021;11;T-2077-8065;593939.9983999999
2021;11;T-2135-31166;1050142.1728
2021;11;T-2160-23009;1110795.8106
2021;11;T-2176-39021;1189449.3077999998
2021;11;T-2234-5142;1025757.8766000001
2021;11;T-2255-3043;1150029.175
2021;11;T-2265-27017;682235.806
2021;11;T-2278-42205;864910.5628
2021;11;T-2364-8086;1244719.3165
2021;11;T-2426-43050;620186.17
2021;11;T-2426-45168;805652.0662
2021;11;T-2467-37382;860855.3864999999
2021;11;T-2481-49192;554787.2472
2021;11;T-2485-25151;1462536.4704
2021;11;T-2594-8294;919468.9502000001
2021;11;T-2720-49197;1196536.0797
2021;11;T-2746-50075;901304.0963999999
2021;11;T-2857-49092;1259241.0237999998
2021;11;T-2867-49057;1179985.3268
2021;11;T-2895-26175;710563.2084
2021;11;T-2902-16027;477431.3847
2021;11;T-2908-22048;705560.5344
2021;11;T-2943-37177;837294.6623999999
2021;11;T-2975-8235;1268660.4112000002
2021;11;T-3007-33042;1120357.2304
2021;11;T-3041-37239;861322.0714
2021;11;T-3089-42094;1113821.0554999998
2021;11;T-3103-42124;1065181.2366
2021;11;T-3124-32021;692748.3888
2021;11;T-3148-45163;562515.2673
2021;11;T-3181-8230;936463.6574
2021;11;T-3196-43147;875262.42
2021;11;T-3235-15031;1062470.524
2021;11;T-3235-50089;684727.7725000001
2021;11;T-3270-50072;1094695.1279999998
2021;11;T-3276-25035;1279403.671
2021;11;T-3284-9038;956129.8008000001
2021;11;T-3315-23045;977927.7629000001
2021;11;T-3334-41904;792062.4042
2021;11;T-3339-45185;751658.584
2021;11;T-3347-5901;556191.8613
2021;11;T-3361-31048;1160094.2055
2021;11;T-3364-16067;1243935.2739000001
2021;11;T-3408-8055;824436.0179999999
2021;11;T-3420-24076;1110198.8800000001
2021;11;T-3429-24158;500829.4044
2021;11;T-3473-42195;931936.7699999999
2021;11;T-3501-9115;1227431.114
2021;11;T-3503-18909;793123.3655999999
2021;11;T-3558-44180;544740.229
2021;11;T-3572-37120;949770.4689
2021;11;T-3601-25220;1220884.236
2021;11;T-3646-8902;998738.2404000001
2021;11;T-3648-14012;824371.9434000001
2021;11;T-3657-25075;601050.0888
2021;11;T-3680-44122;847506.0294
2021;11;T-3717-37258;1083451.2929999998
2021;11;T-3751-3056;667040.85
2021;11;T-3768-14033;1185304.9679999999
2021;11;T-3785-19329;547943.6583
2021;11;T-3885-28005;1113476.6077999999
2021;11;T-3931-8035;1150788.0601
2021;11;T-3933-14062;1146070.1487999998
2021;11;T-3972-18029;490133.5007
2021;11;T-3972-4043;832770.04
2021;11;T-4091-22245;478359.8805
2021;11;T-4125-3120;708393.6789999999
2021;11;T-4180-34106;1009555.71
2021;11;T-4186-43022;971997.1911999999
2021;11;T-4197-37168;1170833.6679999998
2021;11;T-4218-44243;787823.6106
2021;11;T-4239-7058;1032150.0456
2021;11;T-4334-50139;485260.68
2021;11;T-4378-13081;495071.82
2021;11;T-4401-39087;691363.2012
2021;11;T-4419-5211;900057.6312
2021;11;T-4429-9112;752219.6292000001
2021;11;T-4430-45078;1207486.4154
2021;11;T-4432-27012;1160856.6252
2021;11;T-4446-16254;733829.6581
2021;11;T-4483-22006;888663.6024000001
2021;11;T-4499-39003;768145.0568
2021;11;T-4541-29093;663168.8448
2021;11;T-4544-23050;782229.6656000001
2021;11;T-4566-40107;816980.1354
2021;11;T-4622-44118;866394.1083999999
2021;11;T-4733-5218;1289018.9937
2021;11;T-4748-46074;890029.0155999999
2021;11;T-4754-31128;1178288.0104999999
2021;11;T-4769-37346;949867.9689999999
2021;11;T-4869-42166;1083330.11
2021;11;T-4878-22032;883235.574
2021;11;T-4885-24139;1152811.9584
2021;11;T-4894-46192;1289688.3857
2021;11;T-4965-42081;687253.0464
2021;11;T-5020-1060;878790.1581
2021;11;T-5049-44229;1095396.3362
2021;11;T-5125-12116;590377.4601
2021;11;T-5172-6061;706937.777
2021;11;T-5181-47139;968395.3928
2021;11;T-5231-43032;1142995.1940000001
2021;11;T-5293-6018;1027756.7519999999
2021;11;T-5324-10209;691960.5404
2021;11;T-5333-5211;696421.2642
2021;11;T-5340-17077;967745.7396000001
2021;11;T-5356-31048;846536.2083
2021;11;T-5377-2015;627998.3464
2021;11;T-5394-8264;1006351.0944
2021;11;T-5404-26083;1193034.1176
2021;11;T-5434-9340;918670.346
2021;11;T-5437-24104;654727.1359999999
2021;11;T-5460-7020;1250574.429
2021;11;T-5508-50011;579888.1928000001
2021;11;T-5524-24121;812246.2245
2021;11;T-5549-36041;1077666.3660000002
