CodigoProducto,Producto,Categoria,Precio
ICHT-00988193,"Portátil - HP 14s-dq1020ns, 14"" FHD, Intel® Core™ i5-1035G1, 8 GB, 256 GB SSD, UHD Graphics, W10, Plata","Portátiles de menos de 14""",596.56
RHND-22798610,"Portátil - Asus E410MA-EK017TS, 14"", FHD, Intel® Celeron® N4020, 4 GB RAM, 64 GB eMMC, Graphics 600, W10","Portátiles de menos de 14""",259.0
GNZL-46914948,"Portátil - HP 14S-FQ0002NS, 14"" HD, AMD 3020e, 4 GB , 64 GB eMMC, Windows 10 Home, Negro","Portátiles de menos de 14""",282.97
JRKG-55981425,"Portátil - Huawei Matebook D 14 , 14"" FHD, AMD Ryzen™ 7 3700U, 8 GB, 512 GB SSD, Windows 10 Home, Plata","Portátiles de menos de 14""",749.0
PBHG-76999324,"MacBook Air Apple MGN63Y/A, 13.3"" Retina, Apple Silicon M1, 8 GB, 256 GB SSD, MacOS, Gris espacial","Portátiles de menos de 14""",1049.0
MOMN-99071345,"Portátil - Asus ZenBook™ 14 UX425EA-HM165T, 14"", FHD, i7-1165G7, 16 GB RAM, 512 GB SSD, UHD Graphics, W10","Portátiles de menos de 14""",1199.0
DKZN-60743484,"Apple MacBook Pro (2020) MWP42Y/A, 13'' Retina, Intel® Core™i5 10ª gen., 16GB, 512GB SSD, MacOS, Gris espacial","Portátiles de menos de 14""",1777.0
DZCG-89780475,"Portátil - Asus ZenBook 14 UX434FAC-A5188T, 14” FHD, Intel® Core™ i7-10510U, 16GB RAM, 512 GB SSD, W10","Portátiles de menos de 14""",1299.0
GSKJ-41175135,"Portátil - ASUS VivoBook S14 K413JP-EK070T, 14"", Intel® Core™ i5-1035G1, 8 GB RAM, 512GB SSD, MX330, W10","Portátiles de menos de 14""",629.0
NUKA-30508619,"Portátil - Acer Chromebook CB514-1HT, 14"" FHD, Intel® Pentium® N4200, 4 GB, 128 GB, Chrome OS, Plata","Portátiles de menos de 14""",450.0
DPHN-55498132,"Portátil - ASUS ZenBook Duo UX481FL-BM044T, 14"" FHD, Intel® Core™ i7-10510U, 16GB RAM, 512 GB SSD, MX250, W10","Portátiles de menos de 14""",1549.0
UATR-46324218,"Portátil - Acer Chromebook CB315-3HT, 15.6"" FHD, Intel® Pentium® Silver N5030, 8 GB, 128 GB, Chrome OS, Plata","Portátiles de menos de 14""",449.0
CDGH-72925579,"Portátil - Microsoft Surface Laptop Go, 12.45"", Intel® Core™ i5-1035G1, 8 GB, 256 GB, Windows 10 Home S Mode","Portátiles de menos de 14""",999.0
AJLN-93441790,"Apple MacBook Pro (2020) MWP52Y/A, 13'' Retina, Intel® Core™i5 10ª gen., 16GB, 1TB SSD, MacOS, Gris espacial","Portátiles de menos de 14""",1999.0
ABPO-09907255,"MacBook Air Apple MGND3Y/A, 13.3"" Retina, Apple Silicon M1, 8 GB, 256 GB SSD, MacOS, Oro","Portátiles de menos de 14""",1129.0
NPJA-73093295,"Convertible 2 en 1 - Microsoft Surface Pro 7, 12.3"", Intel® Core™ i5-1035G7, RAM 8GB, 256GB, Negro","Portátiles de menos de 14""",1049.0
EHJH-98791148,"Portátil - Acer Chromebook 714, 14"" Full-HD, Intel® Core™ i3-8130U, 4 GB, 64 GB eMMC, Chrome OS, Plata","Portátiles de menos de 14""",589.0
HZFF-45084295,"Surface -  Microsoft Surface Laptop 3, 13,5 "", Intel® Core™ i5-1035G7, RAM 8 GB,  128 GB,  Plata","Portátiles de menos de 14""",1147.0
KOUU-01904954,"Apple MacBook Pro (2020) MWP72Y/A, 13'' Retina, Intel® Core™ i5 10ª gen., 16 GB, 512 GB SSD, MacOS, Plata","Portátiles de menos de 14""",1879.0
JEBC-05740519,"MacBook Pro Apple, 13.3"" Retina, Apple Silicon M1, 16 GB, 512 GB SSD, MacOS, Gris espacial","Portátiles de menos de 14""",1909.0
TUAS-23102789,"Portátil - Lenovo ThinkBook 13s IML, 13.3"" FHD, Intel® Core™ i5-10210U, 8GB RAM, 256GB SSD, UHD Graphics, W10","Portátiles de menos de 14""",960.0
